type,2016,2017,2018,2019,2020,2021,2022,harga_rata_rata,nama_rumah,tipe_rumah,Lokasi,kt,km,grs,lt,lb
Rumah,1000000000,1120000000,1288000000,1417000000,1488000000,1563000000,1641000000,1359571428.57143,Kontrakan 8 Pintu Ada Pasif Income Lokasi Strategis Di Bojong Kulur Gunung Putri Kabupaten  ,siap huni,Bojong Kulur   ,,,0,252,225
Rumah,5500000000,6160000000,7084000000,7793000000,8183000000,8592000000,9021000000,7476142857.14286,La.362 Dijual Cepat Villa Cantik Siap Huni di Mega Mendung Puncak,siap huni,Puncak   ,8,5,2,2753,1000
Rumah,5000000000,5600000000,6440000000,7084000000,7439000000,7811000000,8201000000,6796428571.42857,La.414 Dijual Cepat Rumah Bagus Siap Huni di Moderland,siap huni,Cibubur   ,7,4,1,250,220
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,La.435 Dijual Cepat Rumah di Perum Gladiola Residence Siap Huni,siap huni,Cibubur   ,3,2,1,84,73
Rumah,525000000,588000000,677000000,744000000,782000000,821000000,862000000,714142857.142857,LIVISTONA CITRALAND CIBUBUR,siap huni,Cileungsi   ,2,1,0,60,30
Apartemen,1180000000,1322000000,1520000000,1672000000,1756000000,1844000000,1936000000,1604285714.28571,LRT CITY ROYAL SENTUL,siap huni,Sentul City   ,2,1,0,52,
Rumah,1300000000,1456000000,1675000000,1842000000,1934000000,2031000000,2133000000,1767285714.28571,MEGA CLUSTER MONTEVERDE-CARYOTA,siap huni,Cileungsi   ,2,1,0,136,69
Rumah,775000000,868000000,999000000,1099000000,1153000000,1211000000,1272000000,1053857142.85714,Metland Cileungsi Rumah Cantik Harga Menarik,siap huni,Cileungsi   ,1,,0,84,39
Rumah,799000000,895000000,1030000000,1133000000,1189000000,1249000000,1311000000,1086571428.57143,Millenium City Parung Panjang  Rumah Termewah 5 Menit Ke Stasiun,siap huni,Parung Panjang   ,2,2,0,60,61
Rumah,330000000,370000000,426000000,468000000,491000000,516000000,542000000,449000000,Modern Minimalis Siap Huni di Citra Indah City 2188mr,siap huni,Cileungsi   ,2,1,1,72,60
Rumah,700000000,784000000,902000000,992000000,1042000000,1094000000,1149000000,951857142.857143,MONTERREY 1 CITRALAND CIBUBUR,siap huni,Cileungsi   ,2,2,0,60,51
Rumah,840000000,941000000,1082000000,1191000000,1250000000,1313000000,1378000000,1142142857.14286,MONTERREY 2A CITRALAND CIBUBUR,siap huni,Cileungsi   ,3,2,0,72,61
Rumah,375000000,420000000,483000000,532000000,558000000,586000000,616000000,510000000,MURAH RUMAH MINIMALIS  NYAMAN & STRATEGIS,siap huni,Cilebut   ,2,1,,60,40
Rumah,975000000,1092000000,1256000000,1382000000,1451000000,1523000000,1600000000,1325571428.57143,MURAH Rumah Bagus Semi Furnish SHM di Sentul Alaya  ,siap huni,Sentul City   ,3,2,1,90,60
Rumah,168000000,189000000,217000000,239000000,250000000,263000000,276000000,228857142.857143,NGAPAIN NGONTRAK RUMAH SUBSIDI SIAP HUNI CICILAN 1JUTA,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,49000000,55000000,64000000,70000000,73000000,77000000,81000000,67000000,Take over Kredit Rumah Subsidi,take over kredit,Kemang   ,1,1,1,60,30
Rumah,276000000,310000000,356000000,392000000,411000000,432000000,453000000,375714285.714286,Perumahaan Dekat Dengan Terminal Cileungsi,siap huni,Klapanunggal   ,2,1,0,96,30
Rumah,500000000,560000000,644000000,709000000,744000000,782000000,821000000,680000000,PERUMAHAN CIKEAS RESIDENCE  HUNIAN ASRI NYAMAN SEJUK DAN AMAN,siap huni,Cikeas   ,2,1,1,70,36
Rumah,448000000,502000000,578000000,635000000,667000000,700000000,735000000,609285714.285714,Perumahan Cilebut Dekat Stasiun Cilebut,siap huni,Cilebut   ,3,1,1,66,50
Rumah,168000000,189000000,217000000,239000000,250000000,263000000,276000000,228857142.857143,Perumahan Dengan Harga Terjangkau,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,247000000,277000000,319000000,350000000,368000000,386000000,406000000,336142857.142857,Perumahan Dicileungsi Tanpa Dp Cukup Booking 3 Juta All In,siap huni,Cileungsi   ,2,1,1,84,36
Rumah,269000000,302000000,347000000,382000000,401000000,421000000,442000000,366285714.285714,Perumahan Instant Aproval Angsuran 1 jtan DP 0 Ciseeng Kab.  ,siap huni,Ciseeng   ,2,1,1,60,33
Rumah,289000000,324000000,373000000,410000000,430000000,452000000,474000000,393142857.142857,Perumahan Komersil Dekat Jalan Utama Cileungsi,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,289000000,324000000,373000000,410000000,430000000,452000000,474000000,393142857.142857,Perumahan Komersil Dp 0 Persen,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,289000000,324000000,373000000,410000000,430000000,452000000,474000000,393142857.142857,Perumahan Komersil Tanpa Dp,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,Perumahan nirwana estate,siap huni,  Nirwana Residence   ,5,3,0,144,200
Rumah,313000000,351000000,404000000,444000000,466000000,489000000,514000000,425857142.857143,Perumahan puri harmoni best view perumahan komersil puri harmoni,siap huni,Citeureup   ,2,1,1,60,30
Rumah,168000000,189000000,217000000,239000000,250000000,263000000,276000000,228857142.857143,Perumahan Subsidi Di Cileungsi,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,168000000,189000000,217000000,239000000,250000000,263000000,276000000,228857142.857143,Perumahan Subsidi Minimalis Dan Nyaman,siap huni,Klapanunggal   ,2,1,0,60,30
Rumah,1250000000,1400000000,1610000000,1771000000,1860000000,1953000000,2051000000,1699285714.28571,Perumahan telaga kahuripan di Jl raya   - jakarta,siap huni,Kemang   ,3,2,1,90,84
Rumah,168000000,189000000,217000000,239000000,250000000,263000000,276000000,228857142.857143,Peumahan Fontana Subsidi di Cileungsi,siap huni,Cileungsi   ,2,1,0,60,30
Rumah,145000000,163000000,187000000,206000000,216000000,227000000,238000000,197428571.428571,Promo rumah baru dekat pemda cibinong,siap huni,Cibinong   ,2,1,0,35,35
Rumah,145000000,163000000,187000000,206000000,216000000,227000000,238000000,197428571.428571,Promo rumah baru murah banget,siap huni,Cibinong   ,2,1,0,35,35
Rumah,932000000,1044000000,1201000000,1321000000,1387000000,1456000000,1529000000,1267142857.14286,Punya rumah idaman semua orang miliki segera unitnya,siap huni,Cibinong   ,2,1,1,90,63
Rumah,3150000000,3528000000,4058000000,4463000000,4687000000,4921000000,5167000000,4282000000,Rapi asri bebas banjir homei tanah luas akses 900 m2 pintu Toll,siap huni,Gunung Putri   ,4,4,2,260,240
Rumah,530000000,594000000,683000000,751000000,789000000,828000000,870000000,720714285.714286,"READY Stok  Rumah Cibubur Cikeas 
Scandynavian style",siap huni,Cikeas   ,2,1,1,70,36
Rumah,825000000,924000000,1063000000,1169000000,1228000000,1289000000,1354000000,1121714285.71429,romah kos 6 pintu.lokasi strategis.seberabg pabrik mercedes benzdi jl raya wanaherang jl raya cikuda  **,siap huni,Wanaherang   ,6,6,0,225,100
Rumah,4950000000,5544000000,6376000000,7014000000,7364000000,7733000000,8119000000,6728571428.57143,Rumah   kawasan elit strategis siap nego,siap huni,  Selatan   ,6,5,2,595,525
Rumah,380000000,426000000,490000000,539000000,566000000,594000000,624000000,517000000,Rumah   Murah  Dekat Garuda Waterland,siap huni,Tajur Halang   ,2,1,1,84,36
Rumah,400000000,448000000,516000000,567000000,596000000,625000000,657000000,544142857.142857,Rumah   Nyaman Dan Asri  Dekat Jalan Raya Ciomas,siap huni,Ciomas   ,2,1,1,80,50
Rumah,780000000,874000000,1005000000,1106000000,1161000000,1219000000,1280000000,1060714285.71429,Rumah   Utara Murah Selangkah Menuju Jalan Kedung Halang,siap huni,Kedung Halang   ,2,1,1,120,96
Rumah,3200000000,3584000000,4122000000,4534000000,4761000000,4999000000,5249000000,4349857142.85714,Rumah  di Jl. Bratasena  Bantarjati/Pandu Raya    Utara,siap huni,Bantar Jati   ,6,2,0,285,380
Rumah,750000000,840000000,966000000,1063000000,1116000000,1172000000,1231000000,1019714285.71429,RUMAH  MINIMALIS SIAP HUNI TAJURHALANG  ,siap huni,Tajur Halang   ,2,1,0,72,45
Rumah,447000000,501000000,576000000,634000000,665000000,699000000,734000000,608000000,Rumah  Siap Huni Di Tajur Halang Dp 0 % Free Biaya Surat Surat,siap huni,Tajur Halang   ,2,1,2,62,40
Rumah,400000000,448000000,516000000,567000000,596000000,625000000,657000000,544142857.142857,Rumah 1 1/2 lantai siap huni di perumahan Villa Nusa Indah Bojong Kulur Gunung Putri  Jawa Barat,siap huni,Bojong Kulur   ,4,2,0,96,120
Rumah,425000000,476000000,548000000,603000000,633000000,664000000,698000000,578142857.142857,Rumah 1 1/2 lantai siap huni di perumahan Villa Nusa Indah Bojong Kulur Gunung Putri  Jawa Barat,siap huni,Bojong Kulur   ,4,2,0,96,120
Rumah,556000000,623000000,717000000,788000000,828000000,869000000,912000000,756142857.142857,Rumah 1 Lantai Dalam Cluster SHM Bebas Banjir Tanpa Sutet di Cikeas,siap huni,Gunung Putri   ,2,1,1,70,36
Rumah,661000000,741000000,852000000,937000000,984000000,1033000000,1085000000,899000000,Rumah 1 Lantai Dengan Fasilitas Lengkap Di Pusat Cibinong,siap huni,Cibinong   ,2,1,1,84,40
Rumah,661000000,741000000,852000000,937000000,984000000,1033000000,1085000000,899000000,Rumah 1 Lantai Dengan Fasilitas Lengkap Di Pusat Cibinong,siap huni,Cibinong   ,2,1,1,84,40
Rumah,4000000000,4480000000,5152000000,5668000000,5951000000,6249000000,6561000000,5437285714.28571,Rumah 1 Lantai Halaman Luas Dekat Pasar Parung Rsa122104,siap huni,Parung   ,4,5,0,1434,600
Rumah,450000000,504000000,580000000,638000000,670000000,703000000,739000000,612000000,Rumah 1 Lantai Minimalis Citra Indah Bukit Salvia,siap huni,Jonggol   ,2,1,0,105,33
Rumah,661000000,741000000,852000000,937000000,984000000,1033000000,1085000000,899000000,Rumah 1 Lantai Siap Huni Dengan Fasilitas Lengkap Di Pusat Cibinong,siap huni,Cibinong   ,2,1,1,84,40
Rumah,1100000000,1232000000,1417000000,1559000000,1637000000,1719000000,1805000000,1495571428.57143,Rumah 1 lt minimalis siap huni Kota Wisata  akses in out tol di pintu gerbang Kowis,siap huni,Cibubur   ,2,1,0,105,70
Rumah,1010000000,1132000000,1301000000,1431000000,1503000000,1578000000,1657000000,1373142857.14286,Rumah 10 Menit Ke Rs Permata Cibubur Siap Kpr Harga All In,siap huni,Gunung Putri   ,2,1,1,115,54
Rumah,3200000000,3584000000,4122000000,4534000000,4761000000,4999000000,5249000000,4349857142.85714,Rumah 2 Hadap Posisi Hook Depan Taman di Sentul City   ,siap huni,Sentul   ,5,5,3,341,327
Rumah,1400000000,1568000000,1804000000,1984000000,2083000000,2187000000,2297000000,1903285714.28571,Rumah 2 lantai  Di Villa   Indah Rumah Unfurnished Bagus SHM - Sertifikat Hak Milik di Villa   Indah  Ciparigi,siap huni,Ciparigi   ,4,3,0,122,200
Rumah,6500000000,7280000000,8372000000,9210000000,9670000000,10154000000,10661000000,8835285714.28572,Rumah 2 Lantai Ada Kolam Renang Cluster Depan Sentul City   ,siap huni,Sentul City   ,4,5,2,313,360
Rumah,3000000000,3360000000,3864000000,4251000000,4463000000,4687000000,4921000000,4078000000,Rumah 2 Lantai Bagus Ada View Unfurnished HGB Klaster Country Wood Sentul City  ,siap huni,Sentul City   ,3,2,2,325,212
Rumah,3250000000,3640000000,4186000000,4605000000,4835000000,5077000000,5331000000,4417714285.71429,Rumah 2 Lantai Bagus Cluster Depan Sentul City  ,siap huni,Sentul City   ,3,2,2,325,212
Rumah,2050000000,2296000000,2641000000,2905000000,3050000000,3203000000,3363000000,2786857142.85714,Rumah 2 Lantai Bagus Dekat Pintu Tol Bisa Buat Kolam Renang Sertifikat Hak Milik Taman Yunani Sentul City  ,siap huni,Sentul City   ,4,2,2,216,150
Rumah,1700000000,1904000000,2190000000,2409000000,2529000000,2656000000,2789000000,2311000000,Rumah 2 Lantai Bagus Di Cimanggu City Dekat Tol BORR,siap huni,Cimangu   ,3,3,0,136,200
Rumah,1800000000,2016000000,2319000000,2551000000,2678000000,2812000000,2953000000,2447000000,Rumah 2 Lantai Bagus Furnished SHM di Sentul City   ,siap huni,Sentul   ,4,4,3,271,200
Rumah,8800000000,9856000000,11335000000,12468000000,13092000000,13746000000,14434000000,11961571428.5714,Rumah 2 Lantai Bagus Furnished SHM di Sentul City   ,siap huni,Sentul City   ,3,3,2,696,400
Rumah,4500000000,5040000000,5796000000,6376000000,6695000000,7030000000,7381000000,6116857142.85714,Rumah 2 Lantai Bagus Sekali Depan Green Area Cluster Depan Sentul City   ,siap huni,Sentul City   ,3,2,1,261,400
Rumah,15000000000,16800000000,19320000000,21252000000,22315000000,23431000000,24602000000,20388571428.5714,Rumah 2 Lantai Bagus Semi Furnished di Sentul   ,siap huni,Sentul City   ,3,3,4,1727,300
Rumah,3900000000,4368000000,5024000000,5526000000,5802000000,6092000000,6397000000,5301285714.28571,Rumah 2 Lantai Bagus Semi Furnished SHM di Sentul City   ,siap huni,Sentul City   ,3,4,2,329,275
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,Rumah 2 Lantai Bagus SHGB di Kota Wisata   ,siap huni,Kota Wisata   ,2,2,2,128,150
Rumah,690000000,773000000,889000000,978000000,1027000000,1078000000,1132000000,938142857.142857,Rumah 2 Lantai Bagus SHM di Pengasinan  Gunung Sindur   ,siap huni,Gunung Sindur   ,3,2,1,60,63
Rumah,1000000000,1120000000,1288000000,1417000000,1488000000,1563000000,1641000000,1359571428.57143,Rumah 2 lantai bagus siap huni dalam cluster di Cibubur Country Cikeas Gunung Putri  ,siap huni,Cikeas   ,2,2,0,72,78
Rumah,1150000000,1288000000,1482000000,1630000000,1711000000,1797000000,1887000000,1563571428.57143,Rumah 2 Lantai Bagus Unfurnished di Sentul City     ,siap huni,Sentul City   ,3,3,1,84,89
Rumah,6000000000,6720000000,7728000000,8501000000,8926000000,9373000000,9841000000,8155571428.57143,Rumah 2 Lantai Bagus Unfurnished SHM di Cisarua   ,siap huni,Cisarua   ,7,5,4,2865,1000
Rumah,8800000000,9856000000,11335000000,12468000000,13092000000,13746000000,14434000000,11961571428.5714,Rumah 2 Lantai Bagus Unfurnished SHM di Sentul City   ,siap huni,Sentul City   ,3,3,2,696,400
Rumah,8800000000,9856000000,11335000000,12468000000,13092000000,13746000000,14434000000,11961571428.5714,Rumah 2 Lantai Bagus Unfurnished SHM di Sentul City   ,siap huni,Sentul City   ,3,3,2,696,400
Rumah,2600000000,2912000000,3349000000,3684000000,3868000000,4062000000,4265000000,3534285714.28571,Rumah 2 Lantai Bagus Unfurnished SHM Taman Yunani Sentul City  ,siap huni,Sentul City   ,4,2,2,252,130
Rumah,5000000000,5600000000,6440000000,7084000000,7439000000,7811000000,8201000000,6796428571.42857,Rumah 2 Lantai Baru Ada Green Area di Sentul City   ,siap huni,Sentul City   ,3,3,2,330,362
Rumah,6500000000,7280000000,8372000000,9210000000,9670000000,10154000000,10661000000,8835285714.28572,Rumah 2 Lantai Baru Bersertifikat Depan Green Area Sentul City   ,siap huni,Sentul City   ,4,5,2,313,360
Rumah,1150000000,1288000000,1482000000,1630000000,1711000000,1797000000,1887000000,1563571428.57143,Rumah 2 Lantai Baru Best View di Sentul City   ,siap huni,Sentul   ,3,2,1,84,89
Rumah,6500000000,7280000000,8372000000,9210000000,9670000000,10154000000,10661000000,8835285714.28572,Rumah 2 Lantai Baru Depan Green Area di Sentul City   ,siap huni,Sentul   ,4,5,2,313,360
Rumah,4300000000,4816000000,5539000000,6093000000,6397000000,6717000000,7053000000,5845000000,Rumah 2 Lantai Baru Semi Furnished,siap huni,Sentul City   ,4,4,2,181,176
Rumah,4300000000,4816000000,5539000000,6093000000,6397000000,6717000000,7053000000,5845000000,Rumah 2 Lantai Baru Semi Furnished di Sentul City   ,siap huni,Sentul City   ,4,4,2,181,176
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,Rumah 2 Lantai Baru Unfurnished di Sentul City   ,siap huni,Sentul City   ,3,2,1,84,89
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,Rumah 2 Lantai Baru Unfurnished di Sentul City   ,siap huni,Sentul   ,3,2,1,84,89
Rumah,5500000000,6160000000,7084000000,7793000000,8183000000,8592000000,9021000000,7476142857.14286,Rumah 2 Lantai Baru Unfurnished SHM di Sentul City   ,siap huni,Sentul City   ,4,4,3,498,400
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,Rumah 2 Lantai Baru View Gunung Di Sentul City   ,siap huni,Sentul City   ,3,2,1,84,89
Rumah,1300000000,1456000000,1675000000,1842000000,1934000000,2031000000,2133000000,1767285714.28571,Rumah 2 Lantai Bebas Banjir Harga All In di Grand Sentul Siap Kpr,siap huni,Sukaraja   ,3,3,1,144,102
Rumah,4250000000,4760000000,5474000000,6022000000,6323000000,6639000000,6971000000,5777000000,Rumah 2 Lantai Bersertifikah Area di Sentul City   ,siap huni,Sentul City   ,4,2,2,334,350
Rumah,6500000000,7280000000,8372000000,9210000000,9670000000,10154000000,10661000000,8835285714.28572,Rumah 2 Lantai Best Swimming Pool SHM di Sentul City   ,siap huni,Sentul City   ,4,5,2,313,360
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,Rumah 2 Lantai Best View Mountain di Sentul City   ,siap huni,Sentul City   ,3,2,1,84,89
Rumah,11000000000,12320000000,14168000000,15585000000,16365000000,17183000000,18042000000,14951857142.8571,Rumah 2 Lantai Best View Pegunungan Di Sentul City   ,siap huni,Sentul City   ,4,4,6,543,495
Rumah,4500000000,5040000000,5796000000,6376000000,6695000000,7030000000,7381000000,6116857142.85714,Rumah 2 Lantai Butuh Renovasi Unfurnished di Sentul   ,butuh renovasi,Sentul City   ,3,2,3,575,200
Rumah,1150000000,1288000000,1482000000,1630000000,1711000000,1797000000,1887000000,1563571428.57143,Rumah 2 Lantai Butuh Renovasi Unfurnished di Sentul City   ,butuh renovasi,Sentul City   ,3,2,1,84,89
Rumah,1300000000,1456000000,1675000000,1842000000,1934000000,2031000000,2133000000,1767285714.28571,Rumah 2 Lantai Cocok Untuk Usaha Di Pinggir Jalan Kebun Pedes,siap huni,Tanah Sareal   ,6,5,0,161,230
Rumah,1650000000,1848000000,2126000000,2338000000,2455000000,2578000000,2707000000,2243142857.14286,Rumah 2 lantai dekat gerbang tol,siap huni,Kota Wisata   ,2,2,1,128,100
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Rumah 2 Lantai Dekat Kota Wisata Harga Nego Siap Kpr,siap huni,Cileungsi   ,3,2,1,69,105
Rumah,2900000000,3248000000,3736000000,4109000000,4315000000,4530000000,4757000000,3942142857.14286,Rumah 2 Lantai Dekat Pintu Tol Dan Aeon Mall Unfurnished HGB Klaster England Park Sentul City  ,siap huni,Sentul City   ,3,2,2,290,200
Rumah,750000000,840000000,966000000,1063000000,1116000000,1172000000,1231000000,1019714285.71429,Rumah 2 Lantai Dekat Pintu Tol Unfurnished HGB Taman Casablanca Sentul City  ,siap huni,Sentul City   ,2,1,1,126,35
Rumah,1500000000,1680000000,1932000000,2126000000,2232000000,2344000000,2461000000,2039285714.28571,Rumah 2 Lantai Dekat Pusat Belanja di Griya Kedung Badak Siap Kpr,siap huni,  Barat   ,4,2,2,129,164
Rumah,1490000000,1669000000,1920000000,2112000000,2217000000,2328000000,2444000000,2025714285.71429,Rumah 2 Lantai Dekat Terminal Bubulak Siap Kpr,siap huni,Tanah Sareal   ,3,3,1,150,106
Rumah,3900000000,4368000000,5024000000,5526000000,5802000000,6092000000,6397000000,5301285714.28571,Rumah 2 Lantai Depan Green Area Sentul City   ,siap huni,Sentul City   ,5,2,1,261,280
Rumah,900000000,1008000000,1160000000,1276000000,1339000000,1406000000,1477000000,1223714285.71429,Rumah 2 Lantai di   Akses Tol Dan Pinggir Jalan Raya,siap huni,Parung   ,3,2,4,72,69
Rumah,604000000,677000000,778000000,856000000,899000000,944000000,991000000,821285714.285714,Rumah 2 Lantai di Atang sanjaya  semplak  yasmin   ,siap huni,  Barat   ,2,3,2,60,63
Rumah,1190000000,1333000000,1533000000,1686000000,1771000000,1859000000,1952000000,1617714285.71429,Rumah 2 Lantai di Bukit Cimanggu  ,siap huni,Tanah Sareal   ,3,2,1,136,250
Rumah,1140000000,1277000000,1469000000,1616000000,1696000000,1781000000,1870000000,1549857142.85714,Rumah 2 Lantai di Bukit Dago Tangerang Dekat Rs Permata Pamulang Harga All In,siap huni,Gunung Sindur   ,3,2,1,112,100
Rumah,700000000,784000000,902000000,992000000,1042000000,1094000000,1149000000,951857142.857143,Rumah 2 Lantai di Citraland Cibubur  Cileungsi   ,siap huni,Cileungsi   ,2,2,1,60,55
Rumah,1390000000,1557000000,1791000000,1970000000,2068000000,2172000000,2280000000,1889714285.71429,Rumah 2 Lantai di Darmaga Pratama  Cibadak   ,siap huni,Ciampea   ,3,3,1,144,200
Rumah,800000000,896000000,1031000000,1134000000,1191000000,1250000000,1313000000,1087857142.85714,Rumah 2 Lantai di Griya Melati  Bubulak   ,siap huni,Bubulak   ,3,2,1,72,132
Rumah,450000000,504000000,580000000,638000000,670000000,703000000,739000000,612000000,Rumah 2 Lantai di Griya Parung Panjang Kabasiran  ,siap huni,Parung Panjang   ,3,1,0,70,70
Rumah,9950000000,11144000000,12816000000,14098000000,14803000000,15543000000,16320000000,13524857142.8571,Rumah 2 Lantai di Jalan Raya Puncak View Bagus Lokasi Strategis,siap huni,Cisarua   ,4,3,,1400,500
Rumah,495000000,555000000,638000000,702000000,737000000,774000000,812000000,673285714.285714,Rumah 2 Lantai di Kemang   Dekat Toll Jorr 3 Siap Huni,siap huni,Kemang   ,2,2,1,60,60
Rumah,3900000000,4368000000,5024000000,5526000000,5802000000,6092000000,6397000000,5301285714.28571,Rumah 2 Lantai di Komplek Perumahan Kebun Raya Residence Pasir Kuda Kota  ,siap huni,Pasir Kuda   ,5,4,2,400,500
Rumah,1200000000,1344000000,1546000000,1701000000,1786000000,1875000000,1969000000,1631571428.57143,Rumah 2 Lantai di Komplek Prima Cimanggu Harga All In,siap huni,Tanah Sareal   ,2,2,1,72,120
Rumah,1000000000,1120000000,1288000000,1417000000,1488000000,1563000000,1641000000,1359571428.57143,Rumah 2 lantai di perumahan laladon Ciomas   ,siap huni,Laladon   ,4,2,1,210,150
Rumah,2700000000,3024000000,3478000000,3826000000,4017000000,4218000000,4429000000,3670285714.28571,Rumah 2 Lantai Di Sentul City,siap huni,Bukit Sentul   ,5,4,0,120,200
Rumah,2700000000,3024000000,3478000000,3826000000,4017000000,4218000000,4429000000,3670285714.28571,Rumah 2 Lantai Di Sentul City,siap huni,Bukit Sentul   ,5,4,0,120,200
Rumah,2700000000,3024000000,3478000000,3826000000,4017000000,4218000000,4429000000,3670285714.28571,Rumah 2 Lantai Di Sentul City,siap huni,Bukit Sentul   ,5,4,0,120,200
Rumah,2700000000,3024000000,3478000000,3826000000,4017000000,4218000000,4429000000,3670285714.28571,Rumah 2 Lantai Di Sentul City,siap huni,Bukit Sentul   ,5,4,0,120,200
Rumah,2900000000,3248000000,3736000000,4109000000,4315000000,4530000000,4757000000,3942142857.14286,Rumah 2 lantai diboulevard Legenda Wisata Cibubur Jawa Barat,siap huni,Legenda Wisata   ,3,2,0,300,200
Rumah,3950000000,4424000000,5088000000,5597000000,5877000000,6170000000,6479000000,5369285714.28571,Rumah 2 lantai Dijual  di Grand Harmony Boulevard,siap huni,Ciapus   ,,,0,308,250
Rumah,1400000000,1568000000,1804000000,1984000000,2083000000,2187000000,2297000000,1903285714.28571,Rumah 2 Lantai dijual di Perumahan Legenda Wisata Cibubur,siap huni,Legenda Wisata   ,2,2,1,134,84
Rumah,1900000000,2128000000,2448000000,2692000000,2827000000,2968000000,3117000000,2582857142.85714,Rumah 2 Lantai dijual di Perumahan Legenda Wisata Cibubur,siap huni,Legenda Wisata   ,3,2,2,150,90
Rumah,2600000000,2912000000,3349000000,3684000000,3868000000,4062000000,4265000000,3534285714.28571,Rumah 2 Lantai dijual di Perumahan Legenda Wisata Cibubur,siap huni,Legenda Wisata   ,5,3,1,240,240
Rumah,1250000000,1400000000,1610000000,1771000000,1860000000,1953000000,2051000000,1699285714.28571,Rumah 2 Lantai Full Furnish Rancamaya Cluster amadeus !,siap huni,Rancamaya   ,3,2,1,90,65
Rumah,1930000000,2162000000,2486000000,2735000000,2872000000,3015000000,3166000000,2623714285.71429,Rumah 2 Lantai Green Bamboo Terrace di Jalan Unitex Kota  ,siap huni,Tajur   ,3,2,2,72,86
Rumah,1680000000,1882000000,2164000000,2381000000,2500000000,2625000000,2756000000,2284000000,Rumah 2 Lantai Harga All In 7 Menit Ke Transmart Yasmin  ,siap huni,  Barat   ,2,1,1,156,144
Rumah,4500000000,5040000000,5796000000,6376000000,6695000000,7030000000,7381000000,6116857142.85714,Rumah 2 Lantai Hook Halaman Luas Bersertifikat Cluster Depan Sentul City  ,siap huni,Sentul City   ,2,1,2,625,77
Rumah,700000000,784000000,902000000,992000000,1042000000,1094000000,1149000000,951857142.857143,Rumah 2 Lantai Limus Pratama,siap huni,Cileungsi   ,1,2,1,72,120
Rumah,1070000000,1199000000,1379000000,1516000000,1592000000,1672000000,1755000000,1454714285.71429,Rumah 2 Lantai Lokasi Srategis Dekat Toll Surat SHM Dicikeas,siap huni,Cikeas   ,3,3,1,84,95
Rumah,1600000000,1792000000,2061000000,2267000000,2381000000,2500000000,2625000000,2175142857.14286,Rumah 2 Lantai Lt Lb 277 260 Bukit Golf Sentul City,siap huni,Babakan Madang   ,3,2,1,277,260
Rumah,2990000000,3349000000,3852000000,4237000000,4449000000,4671000000,4904000000,4064571428.57143,Rumah 2 Lantai Luas di Taman Yasmin,siap huni,Cilendek Timur   ,4,2,1,290,350
Rumah,1830000000,2050000000,2358000000,2593000000,2723000000,2859000000,3002000000,2487857142.85714,Rumah 2 Lantai mewah siap huni di Tajur kota  ,siap huni,Tajur   ,3,2,2,72,86
Rumah,750000000,840000000,966000000,1063000000,1116000000,1172000000,1231000000,1019714285.71429,Rumah 2 Lantai Modern Classic Asri Dan Nyaman di Parung  ,siap huni,Parung   ,3,2,1,60,72
Rumah,18000000000,20160000000,23184000000,25503000000,26778000000,28117000000,29523000000,24466428571.4286,Rumah 2 Lantai murah view golf Dan gunung bonus lahan berkebun dibelakang rumah sentul city   ,siap huni,Sentul City   ,4,4,6,2145,800
Rumah,1400000000,1568000000,1804000000,1984000000,2083000000,2187000000,2297000000,1903285714.28571,Rumah 2 Lantai Pasir Mulya  ,siap huni,Pasirmulya   ,3,3,1,135,128
Rumah,5000000000,5600000000,6440000000,7084000000,7439000000,7811000000,8201000000,6796428571.42857,Rumah 2 lantai rapi dan menarik siap huni di Boulevard Legenda wisata cibubur,siap huni,Legenda Wisata   ,4,3,2,300,500
Rumah,495000000,555000000,638000000,702000000,737000000,774000000,812000000,673285714.285714,Rumah 2 Lantai Scandinavian murah Kemang -  ,siap huni,Kemang   ,2,2,1,60,60
Rumah,4700000000,5264000000,6054000000,6659000000,6992000000,7342000000,7709000000,6388571428.57143,Rumah 2 Lantai Semi Furnished Taman Cantik Di Sentul City   ,siap huni,Sentul City   ,4,4,1,181,176
